,1,3,4,5,6,7
0,ARPP21,POLQ,LRFN2,TBL1X,MIR181A1HG,ZNF710
1,PSD3,DIAPH3,GALNT2,LYST,TSPOAP1,SBF2
2,CEACAM21,ANLN,MERTK,ANTXR2,CCDC26,MAP3K5
3,KIAA1217,BUB1B,RP11-134O21.1,TET2,ACACB,NPL
4,E2F5,ZNF367,TTC7A,CTD-2647E9.3,ELMO1,CD300LF
5,COL27A1,FANCA,DENND1B,PLCB1,ZHX2,MYO9B
6,IRAG2,TIAM1,ITGA9,ZNF438,DENND1A,EEPD1
7,ERG,STXBP5L,PPP3CC,RP6-159A1.3,CELF2,KSR1
8,LRIG1,ARHGAP11A,RASAL1,TANK,INPP4A,MCL1
9,DLGAP2,CEP128,MPPED2,RFX8,WASF1,MPPE1
10,ATP9A,MKI67,ANKS1B,SERTAD2,MANBA,PIK3R6
11,RP11-325F22.2,EFCAB2,ADCY9,SIRPB2,WASHC4,PLCL1
12,UBASH3B,RP4-536B24.4,SLC9A7,SDCCAG8,ETV6,B3GNT5
13,CDK6-AS1,GEN1,XYLT1,ASPH,PUM1,SMAD3
14,GNL3,PHF19,NRG3,PPP1R12A,ARHGAP15,ALPK1
15,DNTT,H3C12,CRNDE,PTGER4,GRAMD1B,ANKRD44
16,AKAP12,E2F7,PRAG1,MSN,ZNF609,TCF7L2
17,MEF2C,SYNE2,SFMBT2,SLA,SLC15A2,STAC
18,SPATS2L,CCDC150,GRAMD4,ATG7,IKBKB,CYRIB
19,SLCO5A1,KIAA1841,NLGN1,ZNF516,PARP8,CD101
20,CDK6,ANP32E,VWC2,LMO2,SLC12A2,PICALM
21,LINC01013,KIF15,RNF144A,PLEK,ARHGAP25,EXOC6
22,NOP16,KNL1,LINC01226,RAB27A,ANKRD13D,SLC12A6
23,UXS1,FBLN1,ELOVL5,CYBB,ATP10D,RASSF3
24,DCHS2,HELLS,PITPNM2,RAB2A,PLEKHA2,ACP3
25,PPP2R5C,CDCA5,BACH2,AP3B1,ATP8B4,UBTD1
26,EYA4,BRCA1,BCL9,PTPRJ,DENND5A,PIK3R5
27,FERMT1,TOP2A,FLI1,UHRF1BP1L,P2RX1,ENTPD1
28,LEF1,SHCBP1,EEF2K,ATP2B1,GRB2,TBXAS1
29,ABLIM1,NASP,PRR5L,ZNF609,ARID3B,TLR1
30,HNRNPDL,CEP78,TERT,FKBP5,PCNX1,SLCO3A1
31,SNRPE,CENPF,APCDD1,PHF20L1,ZNRF1,BACH1
32,ZFAS1,SNHG7,RHEX,MCTP1,TRAF3,RNF19B
33,FGFR1,SMC4,RP4-755G17.1,ACSS3,ATP2C1,PCSK5
34,DIPK1C,VRK1,APBA1,DPYD,USP25,TMTC2
35,NRXN3,BUB1,DIP2C,MED13L,ADPGK,SGMS1
36,RP11-429A20.3,KIF4A,QRSL1,ATXN1,RETREG1,RP11-475M20.2
37,FLT1,KIF24,TMEM131L,LINC00623,FNDC3B,PREX1
38,ATP5MC1,MGME1,LINC01036,TGFBR1,LRRC28,NLRP1
39,PTK2,CENPP,TCERG1L,CFLAR,MBNL1,DOCK4
40,MYO1B,ESPL1,FMNL2,SLC22A4,NPTN,SIGLEC9
41,VAV3,CCDC18,HOMER1,SLC36A1,SUCLG2,STX3
42,ELK3,INCENP,OTOA,BABAM2,SLC39A11,LRRK2
43,TBC1D4,CDK5RAP2,ZCCHC7,MNDA,ERLIN1,ZSWIM6
44,AFF2,CLIC4,WDFY4,RAP1A,GAB3,FGD4
45,NAALADL2-AS2,WDHD1,ITGA4,DGKG,FLNA,NUAK2
46,TTC28,CENPJ,LRRC14B,RP11-475M20.2,CERS6,FAM151B
47,RAG2,CIT,ANKRD16,EPHA1-AS1,SND1,JAZF1
48,LIMD1,SMC6,RNF175,RGS18,ARL8B,CAPZB
49,PTGIR,GPR137C,ADARB1,PARP8,IGF1R,PDLIM5
50,GAB1,CENPQ,ROR1,WLS,NLN,WIPI1
51,PRKCE,ST8SIA2,SRGAP2,STXBP5,COL23A1,AKT3
52,GNG12,TMPO,CFAP73,SPECC1,TRIP12,FOXO3
53,AJ006998.2,XRCC2,ADARB2,RAB44,ZDHHC14,C9orf72
54,MDM2,BRCA2,MPZL1,DOCK2,TNFAIP8,PCED1B
55,AKR1A1,EME1,ABHD15,DOCK5,IL2RA,SLC41A2
56,APEX1,CKAP5,ZNF608,RYK,EMB,PAPSS1
57,ETS2,NCAPG,CDC42EP5,RALGAPA2,RNF24,ITGAM
58,NAP1L1,LMNB1,GPR160,MIR223HG,SIPA1L2,KIAA0513
59,YES1,FBXL5,SYNPO,PICALM,RNF213,RAB8B
60,NFATC2,TICRR,SCN1A-AS1,EMILIN2,OAS1,CCR3
61,CMTM2,KIF22,LINC01163,PCNX1,TGFBRAP1,CPEB2
62,RCSD1,CEP152,LEF1-AS1,DRAM1,PTBP3,CRTC3
63,MTCL1,FANCD2,BCR,RIN3,ERP44,TCP11L2
64,TMEM243,TPGS2,MPP7,ANKRD22,ACSM3,NIBAN1
65,NCBP2,ZNF726,AFF3,XRCC4,PARP4,ALOX5
66,SORBS1,ZGRF1,KLHL2,NDRG1,RAB10,SLC44A1
67,RGL1,FANCI,TLR2,ASAP1,HSPBAP1,ZFAND3
68,PXDN,MCM10,NIBAN3,USP15,SMAD3,NEDD9
69,LINC02227,BLM,CRACD,BASP1,NT5C2,EML4
70,CMTM8,TUBB,HS3ST4,SH3KBP1,KCNN4,AOAH
71,IRX2,CHEK2,SLC7A5,BAZ2B,FIRRE,DPEP2
72,XBP1,MMS22L,TENM4,PDE3B,CYSLTR2,ST3GAL6
73,CHCHD10,FANCB,RP11-419I17.1,TBC1D22B,RHOH,IFNGR2
74,GS1-433O24.1,PLEKHG4B,SNTA1,SMCHD1,KANSL1,CEP85L
75,GUCY1A1,ESCO2,MTCL1,ACTR3,EIF2AK2,CLEC17A
76,MYB,BNC2,GNG7,TAOK3,MED13L,DPYD
77,CALD1,ST6GALNAC3,VPS26B,WAC,USP32,DENND1A
78,TMEM263,NFATC2IP,CORO2B,AZI2,PHF21A,DIP2B
79,CD96,FANCL,TMCC3,DISC1,ARID1A,STIM1
80,EFNB2,ATAD2,MGAT5B,ST3GAL6,LPCAT2,CTBS
81,PAICS,CEP112,TARBP1,ARAP3,PIK3R1,ITGAX
82,POLR1B,NCAPD3,TCF3,ITPR2,CLEC5A,CPPED1
83,FMNL2,HROB,CHST15,GRK3,BABAM2,ARHGAP26
84,BCAR3,PBX3,NETO2,ACSL1,TTN-AS1,FCN1
85,IL7R,TTPA,RP11-94M14.2,SNX27,SPG11,GNAQ
86,RP11-305F5.3,IQGAP3,MEF2D,ALPK1,HS3ST5,JAK2
87,TARBP1,NSD2,YPEL1,FNDC3B,ARHGAP17,NLRP12
88,TNFRSF21,STIL,CACNG4,RHOT1,EAF2,TMEM154
89,OTOR,DNMT1,GNA12,GSK3B,CHIC2,CD55
90,FIRRE,CTC-260E6.6,IQCE,FOXO3,VPS13C,RIN3
91,DLL3,CTB-57H20.1,LINC00616,ANKRD44,SLC49A4,SIK3
92,GDF11,SPC25,LINC00426,TTN-AS1,ARHGEF6,ABR
93,GNAI1,CDCA2,SMYD2,MARK3,TBL1XR1,ACSL4
94,CRMP1,KIF14,TEC,ZMYM4,TRIM22,PPP3CA
95,NRIP1,VLDLR-AS1,TLR7,TRIP12,ANKRD28,SIRPB2
96,PSME1,BCL2,PHACTR3,ITGAL,PLEK,FNBP1
97,TRIM38,FAM111A,ABHD3,TMEM150B,NFAT5,TRAF3IP3
98,LINC01934,CIP2A,PHLDB2,CHSY1,SMIM3,MKLN1
99,ZCCHC7,C1orf112,RP11-164H13.1,MYO1F,FNBP1,NLRC4
