,AroPerfect_IS10,AroPerfect_IS15,WT
0,DNTT,ZHX2,TBL1X
1,GNL3,ARHGAP17,RP11-153M7.6
2,IL7R,IGFBP7,WLS
3,RAG1,TBL1XR1,PLCB1
4,CHCHD10,SLC15A2,PRICKLE1
5,HNRNPDL,CAB39,MCTP1
6,IARS1,EIF2AK2,UHRF1BP1L
7,AKAP12,OAS1,TGFBR1
8,ALDH5A1,FLI1,ATXN1
9,ERG,HLA-DPB1,DPYD
10,RP11-164H13.1,NPTN,SLA
11,GIHCG,DIP2B,SERTAD2
12,ATP5MC1,CD58,RP6-159A1.3
13,CEACAM21,ACACB,NDRG1
14,NCBP2,ZFAND3,CYBB
15,PARP15,SMAD3,PTGER4
16,UGT3A2,ARID3B,CTD-2647E9.3
17,MYLK,EPSTI1,PPP1R12A
18,IRAG2,DENND1A,SIRPB2
19,ZFAS1,TLE4,MNDA
20,MYT1L,PLSCR1,GPCPD1
21,SNHG7,MANBA,ANTXR2
22,SNRPD1,TRAF3,ANKRD22
23,SNRPE,ARL6IP6,ZNF438
24,NAP1L1,MCTP2,ITGAL
25,HMHB1,SLC49A4,TMEM150B
26,WNT16,IGF1R,ASPH
27,RCSD1,TSPOAP1,TET2
28,RP11-64P15.1,HLA-DRB1,ADCY7
29,DEK,GRAMD1B,ZNF516
30,BLK,CHST11,RP11-475M20.2
31,PPP1R14A,ANKRD33B,SLC36A1
32,NAXE,LNPEP,SPECC1
33,VDAC1,ANKRD13D,OSBPL8
34,SRSF2,CERS6,USP48
35,C12orf57,ACSL4,NEDD9
36,NIBAN3,HSPBAP1,ACSS3
37,HPS4,ITGA4,RP11-489G11.6
38,MTHFD2,PITPNC1,CELA1
39,APEX1,APP,DOCK5
40,NFATC2,ELMO1,CSF3R
41,VPREB3,WASF1,ACSL1
42,MZB1,ATP1A4,NLRP3
43,GARS1,TRIM22,NFIL3
44,RP4-536B24.4,USP25,RP11-256L6.3
45,RAG2,SEL1L3,FMNL1-DT
46,DBI,ERP44,USP15
47,CCDC107,CELF2,LYST
48,CD96,LINC00616,CDYL2
49,CALD1,ANKRD6,CDC42EP3
50,CDK6,FNBP1,KIF13B
51,XBP1,IL31RA,SMCHD1
52,BEX3,ZNF608,HAL
53,IRX2,TDRD7,SESTD1
54,HERPUD1,CYRIB,PTPRE
55,FTH1,CAMK1D,ATG7
56,MYO5C,PARP9,FKBP5
57,HMGN2,SAMHD1,ANXA1
58,NOP16,DENND5A,FOXO3
59,CCT3,RNF144B,TANK
60,CTB-57H20.1,BACH1,AP3B1
61,HNRNPA1,RP11-94M14.2,SNX27
62,EEF1A2,RAPGEF1,PIM1
63,CYFIP2,KANSL1,TMEM170B
64,DDIT4,MERTK,ABHD5
65,SYT1,TMCC3,PEAK1
66,SPTBN1,SPI1,BAZ2B
67,RP11-305F5.3,DDX60,PTPRJ
68,KCNQ2,SEC23B,HK1
69,NASP,ERN1,XRCC4
70,SNHG1,ATP2C1,TMEM71
71,TNFAIP3,UBE2H,BMP2K
72,PSME1,TEC,PHF20L1
73,RRP1B,NRIP1,APBB1IP
74,PPP2R5C,SIK3,RFX8
75,ZFP36L1,RNF213,QKI
76,TCEA1,RASGRP3,CAST
77,OFD1,PLB1,ENTPD1
78,ARPP21,DDX60L,PLD1
79,DLGAP2,RNF144A,DGKG
80,CDK6-AS1,HS3ST5,SLC22A15
81,COCH,TNFRSF10B,SKI
82,SLC3A2,AKT3,EMILIN2
83,RP11-87C12.5,MARF1,MED13L
84,LGR6,ACSM3,NHSL2
85,TMPO,SUCLG2,ABCA13
86,PRDX1,EML4-AS1,FAM107B
87,PLEKHG4B,CLEC4C,ST3GAL6
88,ETS2,DISC1,ATP2B1
89,PXDN,CARD11,PLIN2
90,RIMS3,MIR181A1HG,DIAPH1
91,LINC02227,SPG11,BASP1
92,STIM2,ARHGAP15,ASAP1
93,PAICS,MX2,PTPN12
94,CYTL1,LIMK2,ATP6V0D1
95,TUBA1B,TMEM156,STXBP5
96,MTCL1,INPP4A,PYGL
97,BLACE,HCK,MYH9
98,MDM2,KMO,SESN3
99,AARS1,TMEM131,AZI2
